year,month,day,hour,PAR
2012,2,8,2,0
2012,2,8,3,0
2012,2,8,4,0
2012,2,8,5,0
2012,2,8,6,0.988739067
2012,2,8,7,3.113936575
2012,2,8,8,2.228140708
2012,2,8,9,61.79144782
2012,2,8,10,59.25030551
2012,2,8,11,70.24112755
2012,2,8,12,72.25757333
2012,2,8,13,44.93306535
2012,2,8,14,48.57815361
2012,2,8,15,29.12183222
2012,2,8,16,14.64339381
2012,2,8,17,2.378594747
2012,2,8,18,0.011988679
2012,2,8,19,0
2012,2,8,20,0
2012,2,8,21,0
2012,2,8,22,0
2012,2,8,23,0
2012,2,9,0,0
2012,2,9,1,0
2012,2,9,2,0
2012,2,9,3,0
2012,2,9,4,0
2012,2,9,5,0
2012,2,9,6,1.522316638
2012,2,9,7,21.21059194
2012,2,9,8,50.42049496
2012,2,9,9,137.7856671
2012,2,9,10,115.6988863
2012,2,9,11,157.9606445
2012,2,9,12,205.9098014
2012,2,9,13,74.4003982
2012,2,9,14,47.9987352
2012,2,9,15,43.43181475
2012,2,9,16,12.87758306
2012,2,9,17,2.113330123
2012,2,9,18,0.013782047
2012,2,9,19,0
2012,2,9,20,0
2012,2,9,21,0
2012,2,9,22,0
2012,2,9,23,0
2012,2,10,0,0
2012,2,10,1,0
2012,2,10,2,0
2012,2,10,3,0
2012,2,10,4,0
2012,2,10,5,0
2012,2,10,6,1.617183841
2012,2,10,7,24.61018512
2012,2,10,8,79.74980106
2012,2,10,9,95.87778707
2012,2,10,10,134.9125972
2012,2,10,11,194.9319408
2012,2,10,12,118.800794
2012,2,10,13,167.7894132
2012,2,10,14,114.8908634
2012,2,10,15,61.53881308
2012,2,10,16,7.452449522
2012,2,10,17,6.356146138
2012,2,10,18,0.04376025
2012,2,10,19,0
2012,2,10,20,0
2012,2,10,21,0
2012,2,10,22,0
2012,2,10,23,0
2012,2,11,0,0
2012,2,11,1,0
2012,2,11,2,0
2012,2,11,3,0
2012,2,11,4,0
2012,2,11,5,0
2012,2,11,6,3.961455263
2012,2,11,7,13.65453938
2012,2,11,8,71.64014862
2012,2,11,9,109.9095656
2012,2,11,10,149.805528
2012,2,11,11,173.37953
2012,2,11,12,151.4639025
2012,2,11,13,150.2396857
2012,2,11,14,6.424540564
2012,2,11,15,100.6590493
2012,2,11,16,17.95912668
2012,2,11,17,3.118609357
2012,2,11,18,0.060373193
2012,2,11,19,0
2012,2,11,20,0
2012,2,11,21,0
2012,2,11,22,0
2012,2,11,23,0
2012,2,12,0,0
2012,2,12,1,0
2012,2,12,2,0
2012,2,12,3,0
2012,2,12,4,0
2012,2,12,5,0
2012,2,12,6,0.867520531
2012,2,12,7,12.07518455
2012,2,12,8,69.30405426
2012,2,12,9,98.62129497
2012,2,12,10,61.24384641
2012,2,12,11,30.97661517
2012,2,12,12,113.1746484
2012,2,12,13,86.42863259
2012,2,12,14,30.22760203
2012,2,12,15,29.01936932
2012,2,12,16,10.59094408
2012,2,12,17,1.808190564
2012,2,12,18,0.025557013
2012,2,12,19,0
2012,2,12,20,0
2012,2,12,21,0
2012,2,12,22,0
