year,month,day,hour,temperature
2012,2,3,21,6.862290122
2012,2,3,22,6.911054324
2012,2,3,23,7.547180805
2012,2,4,0,6.990370375
2012,2,4,1,6.952883029
2012,2,4,2,6.890380512
2012,2,4,3,6.717652105
2012,2,4,4,6.746568053
2012,2,4,5,6.649133706
2012,2,4,6,6.442251356
2012,2,4,7,6.485443774
2012,2,4,8,6.731140367
2012,2,4,9,6.939094373
2012,2,4,10,7.387355865
2012,2,4,11,8.127749885
2012,2,4,12,8.264906325
2012,2,4,13,8.772696613
2012,2,4,14,8.901415262
2012,2,4,15,8.466435232
2012,2,4,16,7.80025511
2012,2,4,17,7.728452673
2012,2,4,18,7.481253404
2012,2,4,19,7.160905671
2012,2,4,20,7.205624417
2012,2,4,21,7.234141948
2012,2,4,22,6.866558649
2012,2,4,23,7.481899874
2012,2,5,0,6.362658767
2012,2,5,1,6.326760859
2012,2,5,2,6.314507433
2012,2,5,3,6.099859171
2012,2,5,4,6.098093655
2012,2,5,5,6.047598992
2012,2,5,6,5.9405413
2012,2,5,7,5.766815086
2012,2,5,8,6.071096758
2012,2,5,9,6.598733462
2012,2,5,10,6.765613571
2012,2,5,11,7.380656748
2012,2,5,12,7.908521427
2012,2,5,13,7.921440596
2012,2,5,14,8.318506326
2012,2,5,15,8.048118693
2012,2,5,16,7.233336725
2012,2,5,17,6.898019312
2012,2,5,18,6.559133694
2012,2,5,19,6.454116795
2012,2,5,20,6.37560946
2012,2,5,21,6.48507812
2012,2,5,22,6.366314134
2012,2,5,23,6.236781253
2012,2,6,0,6.188701918
2012,2,6,1,6.184863219
2012,2,6,2,6.116619688
2012,2,6,3,5.95883356
2012,2,6,4,6.016265665
2012,2,6,5,5.863976634
2012,2,6,6,5.771981423
2012,2,6,7,5.94541382
2012,2,6,8,6.042401254
2012,2,6,9,6.44130923
2012,2,6,10,6.646326368
2012,2,6,11,7.128676812
2012,2,6,12,7.715073923
2012,2,6,13,7.774744767
2012,2,6,14,7.295459362
2012,2,6,15,7.38936278
2012,2,6,16,6.919029225
2012,2,6,17,6.67011108
2012,2,6,18,6.501899538
2012,2,6,19,6.272506131
2012,2,6,20,6.451089517
2012,2,6,21,6.520754806
2012,2,6,22,6.386648138
2012,2,6,23,6.126170073
2012,2,7,0,5.847198188
2012,2,7,1,5.834181998
2012,2,7,2,5.742962864
2012,2,7,3,5.660623355
2012,2,7,4,5.617479458
2012,2,7,5,5.633396026
2012,2,7,6,5.478286477
2012,2,7,7,5.541966218
2012,2,7,8,5.68663347
2012,2,7,9,6.031532747
2012,2,7,10,6.316274001
2012,2,7,11,6.629854001
2012,2,7,12,7.089731208
2012,2,7,13,7.151635863
2012,2,7,14,7.163326832
2012,2,7,15,6.65061248
2012,2,7,16,6.536108048
2012,2,7,17,6.344678546
2012,2,7,18,6.363272777
2012,2,7,19,5.66670165
2012,2,7,20,5.756821318
2012,2,7,21,6.199373645
2012,2,7,22,5.849206254
2012,2,7,23,5.767260113
2012,2,8,0,5.50196925
2012,2,8,1,5.464947305
2012,2,8,2,5.407542238
2012,2,8,3,5.297640256
2012,2,8,4,5.285358655
2012,2,8,5,5.273220241
2012,2,8,6,5.070248267
2012,2,8,7,5.113658833
2012,2,8,8,5.267204107
2012,2,8,9,5.629229489
2012,2,8,10,6.219809323
2012,2,8,11,6.340287766
2012,2,8,12,6.86599723
2012,2,8,13,6.946017584
