"uptake","detritus1c","detritus1n","detritus2c","detritus2n","detritus3c","detritus3n","year","day","month"
0.00012454,173.0491462,4.10445421,353.6221479,8.387364026,225.716294,5.35363718,2008,10,7
0.00011748,173.0491462,4.10446422,353.6221479,8.387380739,225.716294,5.35364838,2008,11,7
0.00011762,173.0491462,4.10447247,353.6221479,8.387400088,225.716294,5.35365969,2008,12,7
0.00011754,173.0491462,4.10448111,353.6221479,8.387419011,225.716294,5.35367129,2008,13,7
0.00011328,173.0491462,4.10449004,353.6221479,8.387436434,225.716294,5.3536824,2008,14,7
0.00011362,173.0491462,4.1044988,353.6221479,8.38745351,225.716294,5.35369378,2008,15,7
0.00010964,173.0491462,4.10450762,353.6221479,8.387471737,225.716294,5.35370586,2008,16,7
0.00010666,173.0491462,4.10451607,353.6221479,8.387491412,225.716294,5.35371755,2008,17,7
0.00010367,173.0491462,4.10452548,353.6221479,8.387508116,225.716294,5.35372857,2008,18,7
9.94e-05,173.0491462,4.10453413,353.6221479,8.387525727,225.716294,5.35374045,2008,19,7
9.85e-05,173.0491462,4.10454314,353.6221479,8.387542529,225.716294,5.35375173,2008,20,7
9.35e-05,173.0491462,4.10455188,353.6221479,8.387563328,225.716294,5.35376286,2008,21,7
9.55e-05,173.0491462,4.10456045,353.6221479,8.387580619,225.716294,5.35377445,2008,22,7
9.75e-05,173.0491462,4.10456908,353.6221479,8.387598688,225.716294,5.35378632,2008,23,7
9.5e-05,173.0491462,4.10457744,353.6221479,8.387616806,225.716294,5.35379764,2008,24,7
9e-05,173.0491462,4.10458743,353.6221479,8.387632104,225.716294,5.35380894,2008,25,7
8.77e-05,173.0491462,4.10459577,353.6221479,8.387652388,225.716294,5.35382053,2008,26,7
9.45e-05,173.0491462,4.1046048,353.6221479,8.38767109,225.716294,5.35383192,2008,27,7
9.34e-05,173.0491462,4.10461364,353.6221479,8.387687975,225.716294,5.3538437,2008,28,7
9.22e-05,173.0491462,4.10462259,353.6221479,8.387705732,225.716294,5.35385491,2008,29,7
0.00011268,173.0491462,4.10463093,353.6221479,8.387724978,225.716294,5.35386621,2008,30,7
0.0001173,173.0491462,4.10463956,353.6221479,8.387742862,225.716294,5.35387848,2008,31,7
0.00011574,173.0491462,4.10464917,353.6221479,8.387760382,225.716294,5.35388978,2008,1,8
0.00011895,173.0491462,4.10465753,353.6221479,8.387778391,225.716294,5.35390109,2008,2,8
0.00011909,173.0491462,4.10466607,353.6221479,8.387795773,225.716294,5.35391268,2008,3,8
0.00011983,173.0491462,4.1046753,353.6221479,8.387815271,225.716294,5.35392435,2008,4,8
0.00011491,173.0491462,4.10468443,353.6221479,8.387832066,225.716294,5.35393548,2008,5,8
0.00011786,173.0491462,4.10469268,353.6221479,8.387850813,225.716294,5.35394735,2008,6,8
0.00011672,173.0491462,4.10470084,353.6221479,8.387868623,225.716294,5.35395867,2008,7,8
0.00011382,173.0491462,4.10471093,353.6221479,8.387887472,225.716294,5.35397025,2008,8,8
0.00011376,173.0491462,4.10471928,353.6221479,8.387903657,225.716294,5.35398183,2008,9,8
0.00010941,173.0491462,4.1047282,353.6221479,8.387923575,225.716294,5.35399323,2008,10,8
0.00011972,173.0491462,4.10473714,353.6221479,8.387939248,225.716294,5.35400464,2008,11,8
0.00011948,173.0491462,4.10474599,353.6221479,8.387958779,225.716294,5.35401623,2008,12,8
0.0001196,173.0491462,4.1047549,353.6221479,8.387978612,225.716294,5.35402791,2008,13,8
0.00011717,173.0491462,4.10476268,353.6221479,8.387995221,225.716294,5.35403931,2008,14,8
0.00012509,173.0491462,4.1047723,353.6221479,8.388011772,225.716294,5.35405062,2008,15,8
0.00012352,173.0491462,4.10478112,353.6221479,8.388030234,225.716294,5.3540622,2008,16,8
0.00012138,173.0491462,4.10478995,353.6221479,8.388049115,225.716294,5.3540736,2008,17,8
0.00012491,173.0491462,4.10479869,353.6221479,8.38806692,225.716294,5.35408521,2008,18,8
0.00012052,173.0491462,4.10480775,353.6221479,8.388084373,225.716294,5.35409652,2008,19,8
0.00012053,173.0491462,4.10481609,353.6221479,8.388103011,225.716294,5.3541078,2008,20,8
0.00011834,173.0491462,4.10482462,353.6221479,8.388120585,225.716294,5.35411997,2008,21,8
0.00011783,173.0491462,4.10483452,353.6221479,8.388138221,225.716294,5.35413184,2008,22,8
0.00011729,173.0491462,4.10484269,353.6221479,8.38815711,225.716294,5.35414286,2008,23,8
0.00011614,173.0491462,4.10485143,353.6221479,8.38817635,225.716294,5.35415455,2008,24,8
0.00011146,173.0491462,4.10486026,353.6221479,8.388192584,225.716294,5.35416566,2008,25,8
0.00012998,173.0491462,4.1048692,353.6221479,8.388209957,225.716294,5.35417677,2008,26,8
0.00015252,173.0491462,4.10487773,353.6221479,8.388229695,225.716294,5.35418874,2008,27,8
0.00015786,173.0491462,4.10488637,353.6221479,8.388246398,225.716294,5.35420061,2008,28,8
0.00015719,173.0491462,4.10489618,353.6221479,8.388264987,225.716294,5.35421165,2008,29,8
0.00014835,173.0491462,4.10490444,353.6221479,8.388283679,225.716294,5.35422351,2008,30,8
0.00014515,173.0491462,4.10491336,353.6221479,8.388300474,225.716294,5.35423463,2008,31,8
0.00013652,173.0491462,4.10492249,353.6221479,8.3883179,225.716294,5.35424631,2008,1,9
0.00014459,173.0491462,4.10493124,353.6221479,8.388337851,225.716294,5.3542581,2008,2,9
0.00013734,173.0491462,4.10493958,353.6221479,8.388356267,225.716294,5.35426921,2008,3,9
0.00013467,173.0491462,4.10494842,353.6221479,8.388373969,225.716294,5.35428061,2008,4,9
0.00013087,173.0491462,4.10495793,353.6221479,8.388390576,225.716294,5.35429276,2008,5,9
0.00012931,173.0491462,4.10496609,353.6221479,8.388408471,225.716294,5.35430399,2008,6,9
0.00012365,173.0491462,4.10497511,353.6221479,8.388427999,225.716294,5.35431519,2008,7,9
0.0001162,173.0491462,4.10498385,353.6221479,8.38844462,225.716294,5.35432698,2008,8,9
0.0001135,173.0491462,4.10499291,353.6221479,8.388463443,225.716294,5.35433856,2008,9,9
0.00011309,173.0491462,4.10500144,353.6221479,8.388482089,225.716294,5.35434939,2008,10,9
0.00010511,173.0491462,4.10500978,353.6221479,8.388498608,225.716294,5.35436108,2008,11,9
0.00010889,173.0491462,4.10501977,353.6221479,8.388517382,225.716294,5.35437305,2008,12,9
0.00010595,173.0491462,4.10502793,353.6221479,8.388537126,225.716294,5.35438462,2008,13,9
0.00010207,173.0491462,4.10503678,353.6221479,8.388553644,225.716294,5.35439605,2008,14,9
9.89e-05,173.0491462,4.10504571,353.6221479,8.388570471,225.716294,5.35440753,2008,15,9
9.63e-05,173.0491462,4.10505465,353.6221479,8.388589973,225.716294,5.35441828,2008,16,9
9.47e-05,173.0491462,4.10506308,353.6221479,8.388608712,225.716294,5.35443052,2008,17,9
9.31e-05,173.0491462,4.10507163,353.6221479,8.388625606,225.716294,5.35444165,2008,18,9
9.59e-05,173.0491462,4.10508142,353.6221479,8.388643815,225.716294,5.35445371,2008,19,9
9.24e-05,173.0491462,4.10508941,353.6221479,8.388661899,225.716294,5.3544653,2008,20,9
9.29e-05,173.0491462,4.1050986,353.6221479,8.388681305,225.716294,5.35447649,2008,21,9
9.14e-05,173.0491462,4.10510755,353.6221479,8.388698193,225.716294,5.35448761,2008,22,9
9.01e-05,173.0491462,4.10511621,353.6221479,8.388715803,225.716294,5.35449958,2008,23,9
8.8e-05,173.0491462,4.10512502,353.6221479,8.388733347,225.716294,5.3545108,2008,24,9
9.26e-05,173.0491462,4.10513339,353.6221479,8.388752044,225.716294,5.35452257,2008,25,9
9.07e-05,173.0491462,4.10514298,353.6221479,8.388768656,225.716294,5.354534,2008,26,9
8.67e-05,173.0491462,4.10515143,353.6221479,8.388789333,225.716294,5.35454604,2008,27,9
8.68e-05,173.0491462,4.10516056,353.6221479,8.388805287,225.716294,5.35455726,2008,28,9
