year,month,day,hour,temp
2012,1,23,1,7.352884
2012,1,23,2,7.20671539
2012,1,23,3,7.06062942
2012,1,23,4,6.97777837
2012,1,23,5,6.86790845
2012,1,23,6,6.8150164
2012,1,23,7,6.7798991
2012,1,23,8,6.90810246
2012,1,23,9,7.2050685
2012,1,23,10,7.94183549
2012,1,23,11,8.48944857
2012,1,23,12,8.96501999
2012,1,23,13,9.23599701
2012,1,23,14,9.06413537
2012,1,23,15,8.83087165
2012,1,23,16,8.46041332
2012,1,23,17,8.15006745
2012,1,23,18,7.90337958
2012,1,23,19,7.65431835
2012,1,23,20,7.4693407
2012,1,23,21,7.24220294
2012,1,23,22,7.14641251
2012,1,23,23,7.00544775
2012,1,24,0,7.78941254
2012,1,24,1,7.55251728
2012,1,24,2,7.40242525
2012,1,24,3,7.24640054
2012,1,24,4,7.17410552
2012,1,24,5,7.05031716
2012,1,24,6,6.97158698
2012,1,24,7,6.9648972
2012,1,24,8,7.08841532
2012,1,24,9,7.41163245
2012,1,24,10,8.16132725
2012,1,24,11,8.70535997
2012,1,24,12,9.21410223
2012,1,24,13,9.46689098
2012,1,24,14,9.27711739
2012,1,24,15,9.04962344
2012,1,24,16,8.70429726
2012,1,24,17,8.39752253
2012,1,24,18,8.08532839
2012,1,24,19,7.87038907
2012,1,24,20,7.68646799
2012,1,24,21,7.42388503
2012,1,24,22,7.32386842
2012,1,24,23,7.20216721
2012,1,25,0,7.67015911
2012,1,25,1,7.4326953
2012,1,25,2,7.28891836
2012,1,25,3,7.13948041
2012,1,25,4,7.06401186
2012,1,25,5,6.94858853
2012,1,25,6,6.8725062
2012,1,25,7,6.8768116
2012,1,25,8,6.96530145
2012,1,25,9,7.28958096
2012,1,25,10,8.02170579
2012,1,25,11,8.58871528
2012,1,25,12,9.08943197
2012,1,25,13,9.35087863
2012,1,25,14,9.17136463
2012,1,25,15,8.90034344
2012,1,25,16,8.59275778
2012,1,25,17,8.25523362
2012,1,25,18,7.99167073
2012,1,25,19,7.72922994
2012,1,25,20,7.53801439
2012,1,25,21,7.33721118
2012,1,25,22,7.22057117
2012,1,25,23,7.07793161
2012,1,26,0,6.52306764
2012,1,26,1,6.32058228
2012,1,26,2,6.19497225
2012,1,26,3,6.07463332
2012,1,26,4,6.00508803
2012,1,26,5,5.91741463
2012,1,26,6,5.84204764
2012,1,26,7,5.83848124
2012,1,26,8,5.9408079
2012,1,26,9,6.18879334
2012,1,26,10,6.83247034
2012,1,26,11,7.29969786
2012,1,26,12,7.70547579
2012,1,26,13,7.94700815
2012,1,26,14,7.7972491
2012,1,26,15,7.56201538
2012,1,26,16,7.30669355
2012,1,26,17,7.02302692
2012,1,26,18,6.7912156
2012,1,26,19,6.57256616
2012,1,26,20,6.43292043
2012,1,26,21,6.22020211
2012,1,26,22,6.1289622
2012,1,26,23,6.02371836
2012,1,27,0,6.75838066
2012,1,27,1,6.5506829
2012,1,27,2,6.4258678
2012,1,27,3,6.29508973
2012,1,27,4,6.21675101
2012,1,27,5,6.11744826
2012,1,27,6,6.05949015
2012,1,27,7,6.04887083
2012,1,27,8,6.16626477
2012,1,27,9,6.43046463
2012,1,27,10,7.07961628
2012,1,27,11,7.57869835
2012,1,27,12,7.97386499
2012,1,27,13,8.23958097
2012,1,27,14,8.1030511
2012,1,27,15,7.83814227
2012,1,27,16,7.58936102
2012,1,27,17,7.26688158
2012,1,27,18,7.01506565
2012,1,27,19,6.83738512
2012,1,27,20,6.65997222
2012,1,27,21,6.46290604
2012,1,27,22,6.34432253
2012,1,27,23,6.23477801
2012,1,28,0,9.08489765
2012,1,28,1,8.80463777
2012,1,28,2,8.63585869
2012,1,28,3,8.45543651
2012,1,28,4,8.37696426
2012,1,28,5,8.22446959
2012,1,28,6,8.14864713
2012,1,28,7,8.15547603
2012,1,28,8,8.26233741
2012,1,28,9,8.64177201
2012,1,28,10,9.50441439
2012,1,28,11,10.1820162
2012,1,28,12,10.7452867
2012,1,28,13,11.0212539
2012,1,28,14,10.917871
2012,1,28,15,10.5236343
2012,1,28,16,10.2028182
2012,1,28,17,9.80156019
2012,1,28,18,9.48447452
2012,1,28,19,9.19090299
2012,1,28,20,8.96797094
2012,1,28,21,8.69096374
2012,1,28,22,8.55634932
2012,1,28,23,8.38578628
2012,1,29,0,9.18451973
2012,1,29,1,8.9030596
2012,1,29,2,8.72920955
2012,1,29,3,8.54918443
2012,1,29,4,8.45100551
2012,1,29,5,8.34029768
2012,1,29,6,8.22327336
2012,1,29,7,8.23417901
2012,1,29,8,8.34796132
2012,1,29,9,8.73742075
2012,1,29,10,9.60937351
2012,1,29,11,10.3068695
2012,1,29,12,10.8507568
2012,1,29,13,11.1814062
2012,1,29,14,10.9944155
2012,1,29,15,10.6734787
2012,1,29,16,10.2737971
2012,1,29,17,9.87005101
2012,1,29,18,9.55494705
2012,1,29,19,9.28118241
2012,1,29,20,9.03102476
2012,1,29,21,8.77683628
2012,1,29,22,8.61641296
2012,1,29,23,8.51743347
2012,1,30,0,10.1714984
2012,1,30,1,9.8537046
2012,1,30,2,9.65875748
2012,1,30,3,9.46465378
2012,1,30,4,9.35640276
2012,1,30,5,9.20555828
2012,1,30,6,9.12202786
2012,1,30,7,9.09822462
2012,1,30,8,9.27486125
2012,1,30,9,9.67772168
2012,1,30,10,10.6363992
2012,1,30,11,11.4045944
2012,1,30,12,12.0533406
2012,1,30,13,12.3800198
2012,1,30,14,12.1136233
2012,1,30,15,11.8184385
2012,1,30,16,11.3872859
2012,1,30,17,10.9727422
2012,1,30,18,10.527097
2012,1,30,19,10.275903
2012,1,30,20,10.0259691
2012,1,30,21,9.71363965
2012,1,30,22,9.59348471
2012,1,30,23,9.40390283
2012,1,31,0,8.98105609
2012,1,31,1,8.70991208
2012,1,31,2,8.53683128
2012,1,31,3,8.36680094
2012,1,31,4,8.2630689
2012,1,31,5,8.13823446
2012,1,31,6,8.04451465
2012,1,31,7,8.04835364
2012,1,31,8,8.17980221
2012,1,31,9,8.52804027
2012,1,31,10,9.38363279
2012,1,31,11,10.065166
2012,1,31,12,10.6519799
2012,1,31,13,10.9181557
2012,1,31,14,10.7586844
2012,1,31,15,10.4141859
2012,1,31,16,10.031668
2012,1,31,17,9.66325203
2012,1,31,18,9.3051482
2012,1,31,19,9.06382495
2012,1,31,20,8.86466912
2012,1,31,21,8.60426804
2012,1,31,22,8.42212543
2012,1,31,23,8.28766175
2012,2,1,0,6.59946004
2012,2,1,1,6.56804328
2012,2,1,2,6.50975816
2012,2,1,3,6.41248203
2012,2,1,4,6.34622444
2012,2,1,5,6.26277736
2012,2,1,6,6.18470662
2012,2,1,7,6.19688343
2012,2,1,8,6.32545362
2012,2,1,9,6.68573655
2012,2,1,10,7.18396354
2012,2,1,11,7.64209661
2012,2,1,12,8.09878646
2012,2,1,13,8.25115475
2012,2,1,14,8.13327942
2012,2,1,15,7.87223964
2012,2,1,16,7.54638283
2012,2,1,17,7.18712859
2012,2,1,18,6.99139058
2012,2,1,19,6.78183277
2012,2,1,20,6.69916288
2012,2,1,21,6.70295967
2012,2,1,22,6.6395895
2012,2,1,23,6.62883561
2012,2,2,0,6.77121622
2012,2,2,1,6.74146298
2012,2,2,2,6.68135225
2012,2,2,3,6.58158182
2012,2,2,4,6.51898576
2012,2,2,5,6.42684783
2012,2,2,6,6.3570791
2012,2,2,7,6.36197758
2012,2,2,8,6.48612779
2012,2,2,9,6.87070385
2012,2,2,10,7.36197946
2012,2,2,11,7.84896326
2012,2,2,12,8.3199891
2012,2,2,13,8.49290587
2012,2,2,14,8.37782665
2012,2,2,15,8.07765467
2012,2,2,16,7.73505914
2012,2,2,17,7.40688561
2012,2,2,18,7.1337473
2012,2,2,19,6.96757059
2012,2,2,20,6.89276215
2012,2,2,21,6.85665162
2012,2,2,22,6.82118962
