patch,drain,uaa,dist,accDist,restored,zoneID,zoneClass,lateralInput,laterFrac,,
1604,1,69072,4.714045208,1144.737854,1,133,1,9,6.73252E-05,,
1269,8,69081,3.333333333,1148.071187,1,134,2,9,6.73252E-05,,
871,8,69086,3.333333333,1151.404521,1,135,1,5,6.73252E-05,,
872,1,69268,4.714045208,1156.118566,1,135,1,182,6.73252E-05,,
870,8,69277,3.333333333,1159.451899,1,135,1,9,6.73252E-05,,
1579,8,69280,3.333333333,1162.785233,1,136,2,3,6.73252E-05,,
1580,8,69281,3.333333333,1166.118566,1,137,1,1,6.73252E-05,,
1581,8,69290,3.333333333,1169.451899,1,137,1,9,6.73252E-05,,
3514,7,69291,4.714045208,1174.165944,1,137,1,1,6.73252E-05,,
3518,8,69301,3.333333333,1177.499278,1,138,2,10,6.73252E-05,,
3519,8,69305,3.333333333,1180.832611,1,138,2,4,6.73252E-05,,
